00501	SUFFOLK	HOLTSVILLE	NY	-72.637078	40.922326
00544	SUFFOLK	HOLTSVILLE	NY	-72.637078	40.922326
01001	HAMPDEN	AGAWAM	MA	-72.788661	42.140549
01002	HAMPSHIRE	AMHERST	MA	-72.464571	42.367092
01003	HAMPSHIRE	AMHERST	MA	-72.63599	42.369562
01004	HAMPSHIRE	AMHERST	MA	-72.513183	42.384494
01005	WORCESTER	BARRE	MA	-72.139465	42.32916
01007	HAMPSHIRE	BELCHERTOWN	MA	-72.402056	42.280267
01008	HAMPDEN	BLANDFORD	MA	-72.958359	42.177833
01009	HAMPDEN	BONDSVILLE	MA	-72.340486	42.206092
01010	HAMPDEN	BRIMFIELD	MA	-72.20448	42.108585
01011	HAMPDEN	CHESTER	MA	-72.952776	42.294259
01012	HAMPSHIRE	CHESTERFIELD	MA	-72.825607	42.392274
01013	HAMPDEN	CHICOPEE	MA	-72.667341	42.161492
01014	HAMPDEN	CHICOPEE	MA	-72.604842	42.170731
01020	HAMPDEN	CHICOPEE	MA	-72.562563	42.177492
01021	HAMPDEN	CHICOPEE	MA	-72.604842	42.170731
01022	HAMPDEN	CHICOPEE	MA	-72.55436	42.193392
01026	HAMPSHIRE	CUMMINGTON	MA	-72.909841	42.428617
01027	HAMPSHIRE	EASTHAMPTON	MA	-72.768839	42.368303
01028	HAMPDEN	EAST LONGMEADOW	MA	-72.49874	42.062009
01029	BERKSHIRE	EAST OTIS	MA	-73.051661	42.190904
01030	HAMPDEN	FEEDING HILLS	MA	-72.79774	42.189335
01031	WORCESTER	GILBERTVILLE	MA	-72.205724	42.352554
01032	HAMPSHIRE	GOSHEN	MA	-72.819446	42.443837
01033	HAMPSHIRE	GRANBY	MA	-72.504086	42.262285
01034	HAMPDEN	GRANVILLE	MA	-72.952003	42.112748
01035	HAMPSHIRE	HADLEY	MA	-72.576613	42.356804
01036	HAMPDEN	HAMPDEN	MA	-72.417507	42.067614
01037	WORCESTER	HARDWICK	MA	-72.225251	42.347856
01038	HAMPSHIRE	HATFIELD	MA	-72.643081	42.387269
01039	HAMPSHIRE	HAYDENVILLE	MA	-72.682127	42.35641
01040	HAMPDEN	HOLYOKE	MA	-72.64207	42.198291
01041	HAMPDEN	HOLYOKE	MA	-72.604842	42.170731
01050	HAMPSHIRE	HUNTINGTON	MA	-72.903677	42.313427
01053	HAMPSHIRE	LEEDS	MA	-72.704385	42.353838
01054	FRANKLIN	LEVERETT	MA	-72.467543	42.474681
01056	HAMPDEN	LUDLOW	MA	-72.627038	42.173276
01057	HAMPDEN	MONSON	MA	-72.282063	42.095323
01059	HAMPSHIRE	NORTH AMHERST	MA	-72.63599	42.369562
01060	HAMPSHIRE	NORTHAMPTON	MA	-72.76927	42.415154
01061	HAMPSHIRE	NORTHAMPTON	MA	-72.63599	42.369562
01062	HAMPSHIRE	FLORENCE	MA	-72.845227	42.328838
01063	HAMPSHIRE	NORTHAMPTON	MA	-72.640234	42.317939
01066	HAMPSHIRE	NORTH HATFIELD	MA	-72.633901	42.406697
01068	WORCESTER	OAKHAM	MA	-72.058847	42.346144
01069	HAMPDEN	PALMER	MA	-72.31457	42.176131
01070	HAMPSHIRE	PLAINFIELD	MA	-72.958397	42.448984
01071	HAMPDEN	RUSSELL	MA	-72.864558	42.177432
01072	FRANKLIN	SHUTESBURY	MA	-72.44017	42.471562
01073	HAMPSHIRE	SOUTHAMPTON	MA	-72.728463	42.230008
01074	WORCESTER	SOUTH BARRE	MA	-72.149388	42.375998
01075	HAMPSHIRE	SOUTH HADLEY	MA	-72.58152	42.24984
01077	HAMPDEN	SOUTHWICK	MA	-72.541205	42.066644
01079	HAMPDEN	THORNDIKE	MA	-72.329574	42.192892
01080	HAMPDEN	THREE RIVERS	MA	-72.517813	42.179805
01081	HAMPDEN	WALES	MA	-72.213598	42.061948
01082	HAMPSHIRE	WARE	MA	-72.548549	42.377471
01083	WORCESTER	WARREN	MA	-72.199439	42.204027
01084	HAMPSHIRE	WEST CHESTERFIELD	MA	-72.870857	42.390303
01085	HAMPDEN	WESTFIELD	MA	-72.501887	42.14869
01086	HAMPDEN	WESTFIELD	MA	-72.847964	42.173428
01088	HAMPSHIRE	WEST HATFIELD	MA	-72.646894	42.390583
01089	HAMPDEN	WEST SPRINGFIELD	MA	-72.645334	42.125793
01090	HAMPDEN	WEST SPRINGFIELD	MA	-72.604842	42.170731
01092	WORCESTER	WEST WARREN	MA	-72.229025	42.202887
01093	FRANKLIN	WHATELY	MA	-72.652511	42.442673
01094	WORCESTER	WHEELWRIGHT	MA	-72.140846	42.358201
01095	HAMPDEN	WILBRAHAM	MA	-72.489988	42.125974
01096	HAMPSHIRE	WILLIAMSBURG	MA	-72.821653	42.413069
01097	HAMPDEN	WORONOCO	MA	-72.845912	42.161743
01098	HAMPSHIRE	WORTHINGTON	MA	-72.896133	42.40494
01101	HAMPDEN	SPRINGFIELD	MA	-72.604842	42.170731
01102	HAMPDEN	SPRINGFIELD	MA	-72.604842	42.170731
01103	HAMPDEN	SPRINGFIELD	MA	-72.590783	42.103044
01104	HAMPDEN	SPRINGFIELD	MA	-72.567966	42.128605
01105	HAMPDEN	SPRINGFIELD	MA	-72.577732	42.099793
01106	HAMPDEN	LONGMEADOW	MA	-72.567882	42.049194
01107	HAMPDEN	SPRINGFIELD	MA	-72.586733	42.126237
01108	HAMPDEN	SPRINGFIELD	MA	-72.558081	42.080594
01109	HAMPDEN	SPRINGFIELD	MA	-72.548981	42.119293
01111	HAMPDEN	SPRINGFIELD	MA	-72.604842	42.170731
01114	HAMPDEN	SPRINGFIELD	MA	-72.604842	42.170731
01115	HAMPDEN	SPRINGFIELD	MA	-72.591633	42.102894
01116	HAMPDEN	LONGMEADOW	MA	-72.604842	42.170731
01118	HAMPDEN	SPRINGFIELD	MA	-72.523227	42.093894
01119	HAMPDEN	SPRINGFIELD	MA	-72.526705	42.124943
